AdmArea,District,global_id,ID,Line,Station,Status
Центральный административный округ,район Замоскворечье,58701962,136,Калининская линия,Третьяковская,действует
Северо-Восточный административный округ,район Северное Медведково,58701963,86,Калужско-Рижская линия,Медведково,действует
Восточный административный округ,район Измайлово,58701964,41,Арбатско-Покровская линия,Первомайская,действует
Юго-Западный административный округ,Обручевский район,58701965,104,Калужско-Рижская линия,Калужская,действует
Юго-Западный административный округ,район Зюзино,58701966,251,Большая кольцевая линия,Каховская,строится
Юго-Западный административный округ,район Южное Бутово,58701967,184,Бутовская линия Лёгкого метро,Бульвар адмирала Ушакова,действует
Центральный административный округ,район Замоскворечье,58701968,28,Замоскворецкая линия,Павелецкая,действует
Юго-Восточный административный округ,район Кузьминки,58701969,172,Люблинско-Дмитровская линия,Волжская,действует
Южный административный округ,Донской район,58701970,99,Калужско-Рижская линия,Шаболовская,действует
Центральный административный округ,район Арбат,58701971,221,Солнцевская линия,Плющиха,строится
Северный административный округ,Тимирязевский район,58701972,142,Серпуховско-Тимирязевская линия,Тимирязевская,действует
Северо-Восточный административный округ,Останкинский район,58701973,90,Калужско-Рижская линия,ВДНХ,действует
Центральный административный округ,Тверской район,58701974,31,Замоскворецкая линия,Тверская,действует
Северо-Восточный административный округ,Бутырский район,58701975,208,Люблинско-Дмитровская линия,Фонвизинская,действует
Юго-Западный административный округ,Обручевский район,58701976,249,Большая кольцевая линия,Воронцовская,строится
Северо-Восточный административный округ,Бутырский район,58701978,143,Серпуховско-Тимирязевская линия,Дмитровская,действует
Юго-Западный административный округ,район Черёмушки,58701979,103,Калужско-Рижская линия,Новые Черёмушки,действует
Северо-Восточный административный округ,Бутырский район,58701980,191,Московская монорельсовая транспортная система,Улица Милашенкова,действует
Центральный административный округ,Тверской район,58701981,119,Таганско-Краснопресненская линия,Пушкинская,действует
Центральный административный округ,Тверской район,58701982,32,Замоскворецкая линия,Маяковская,действует
Юго-Восточный административный округ,Нижегородский район,58701983,231,Некрасовская линия,Нижегородская,действует
Северо-Восточный административный округ,район Свиблово,58701984,89,Калужско-Рижская линия,Ботанический сад,действует
Юго-Восточный административный округ,Нижегородский район,58701985,256,Большая кольцевая линия,Нижегородская улица,строится
Центральный административный округ,Тверской район,58701986,33,Замоскворецкая линия,Белорусская,действует
Южный административный округ,район Москворечье-Сабурово,58701987,180,Каховская линия,Варшавская,действует
Южный административный округ,район Зябликово,58701988,20,Замоскворецкая линия,Красногвардейская,действует
Центральный административный округ,Красносельский район,58701989,6,Сокольническая линия,Комсомольская,действует
Южный административный округ,Нагорный район,58701990,152,Серпуховско-Тимирязевская линия,Нагатинская,действует
Северо-Восточный административный округ,район Бибирево,58701991,137,Серпуховско-Тимирязевская линия,Алтуфьево,действует
Западный административный округ,район Ново-Переделкино,58701992,268,Солнцевская линия,Новопеределкино,действует
Южный административный округ,Даниловский район,58701993,27,Замоскворецкая линия,Автозаводская,действует
Западный административный округ,район Дорогомилово,58701994,220,Солнцевская линия,Дорогомиловская,строится
Юго-Восточный административный округ,район Текстильщики,58701995,125,Таганско-Краснопресненская линия,Текстильщики,действует
Юго-Восточный административный округ,Южнопортовый район,58701996,170,Люблинско-Дмитровская линия,Кожуховская,действует
Юго-Восточный административный округ,район Марьино,58701997,175,Люблинско-Дмитровская линия,Марьино,действует
Центральный административный округ,район Замоскворечье,58701998,77,Кольцевая линия,Павелецкая,действует
Восточный административный округ,район Преображенское,58701999,3,Сокольническая линия,Преображенская площадь,действует
Центральный административный округ,Тверской район,58702000,82,Кольцевая линия,Новослободская,действует
Западный административный округ,район Филёвский Парк,58702001,65,Филёвская линия,Фили,действует
Западный административный округ,район Кунцево,58702002,244,Большая кольцевая линия,Кунцевская,строится
Южный административный округ,район Орехово-Борисово Южное,58702003,21,Замоскворецкая линия,Домодедовская,действует
Северо-Западный административный округ,район Хорошёво-Мнёвники,58702004,242,Большая кольцевая линия,Мневники,действует
Центральный административный округ,Тверской район,58702005,10,Сокольническая линия,Охотный ряд,действует
Восточный административный округ,район Новокосино,58702006,129,Калининская линия,Новокосино,действует
Центральный административный округ,Басманный район,58702007,79,Кольцевая линия,Курская,действует
Восточный административный округ,район Косино-Ухтомский,58702008,228,Некрасовская линия,Лухмановская,действует
Центральный административный округ,Тверской район,58702009,163,Люблинско-Дмитровская линия,Достоевская,действует
Западный административный округ,район Проспект Вернадского,58702010,248,Большая кольцевая линия,Улица Новаторов,строится
Центральный административный округ,Пресненский район,58702011,73,Филёвская линия,Международная,действует
Южный административный округ,район Зябликово,58702012,176,Люблинско-Дмитровская линия,Борисово,действует
Северо-Восточный административный округ,Останкинский район,58702013,188,Московская монорельсовая транспортная система,Выставочный центр,действует
Центральный административный округ,Пресненский район,58702014,116,Таганско-Краснопресненская линия,Беговая,действует
Северо-Западный административный округ,район Хорошёво-Мнёвники,58702015,243,Большая кольцевая линия,Терехово,строится
Центральный административный округ,район Замоскворечье,58702016,222,Солнцевская линия,Третьяковская,строится
Северо-Восточный административный округ,Бутырский район,58702017,144,Серпуховско-Тимирязевская линия,Савёловская,действует
Северо-Западный административный округ,район Митино,58702018,59,Арбатско-Покровская линия,Волоколамская,действует
Западный административный округ,район Дорогомилово,58702019,218,Солнцевская линия,Парк Победы,действует
Южный административный округ,район Чертаново Северное,58702020,156,Серпуховско-Тимирязевская линия,Чертановская,действует
Западный административный округ,район Дорогомилово,58702021,52,Арбатско-Покровская линия,Парк Победы,действует
Западный административный округ,район Фили-Давыдково,58702022,63,Филёвская линия,Филёвский парк,действует
Центральный административный округ,район Хамовники,58702023,14,Сокольническая линия,Фрунзенская,действует
Центральный административный округ,Мещанский район,58702024,120,Таганско-Краснопресненская линия,Кузнецкий мост,действует
Центральный административный округ,Тверской район,58702025,9,Сокольническая линия,Лубянка,действует
Северо-Восточный административный округ,Останкинский район,58702026,187,Московская монорельсовая транспортная система,Улица Сергея Эйзенштейна,действует
Северный административный округ,Головинский район,58702027,38,Замоскворецкая линия,Водный стадион,действует
Центральный административный округ,Пресненский район,58702028,117,Таганско-Краснопресненская линия,Улица 1905 года,действует
Западный административный округ,район Раменки,58702029,224,Солнцевская линия,Ломоносовский проспект,действует
Центральный административный округ,Таганский район,58702030,135,Калининская линия,Марксистская,действует
Западный административный округ,район Ново-Переделкино,58702031,267,Солнцевская линия,Боровское шоссе,действует
Восточный административный округ,район Измайлово,58702032,43,Арбатско-Покровская линия,Партизанская,действует
Южный административный округ,район Чертаново Южное,58702033,159,Серпуховско-Тимирязевская линия,Улица академика Янгеля,действует
Центральный административный округ,Пресненский район,58702034,84,Кольцевая линия,Краснопресненская,действует
Юго-Восточный административный округ,район Лефортово,58702035,230,Некрасовская линия,Авиамоторная,действует
Центральный административный округ,Басманный район,58702036,166,Люблинско-Дмитровская линия,Чкаловская,действует
Южный административный округ,Даниловский район,58702037,151,Серпуховско-Тимирязевская линия,Тульская,действует
Юго-Восточный административный округ,район Выхино-Жулебино,58702038,204,Таганско-Краснопресненская линия,Лермонтовский проспект,действует
